Type,Label,Area,Mean,Min,Max,IntDen,RawIntDen
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:142-ES:c:2/2 z:31/47 - GFP, TRITC",368.134,593.133,319,940,218352.181,16630857
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:142-MEF:c:2/2 z:26/47 - GFP, TRITC",182.905,485.123,218,703,88731.325,6758247
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:142-unfusedES:c:2/2 z:26/47 - GFP, TRITC",158.117,1041.659,492,1405,164703.674,12544703
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:c:2/2 z:28/47 - GFP, TRITC",356.987,116.705,75,184,41662.18,3173212
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:c:2/2 z:28/47 - GFP, TRITC",165.679,1184.095,591,1780,196179.928,14942101
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:c:2/2 z:28/47 - GFP, TRITC",125.044,1152.853,492,1542,144157.176,10979773
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:142-unfusedES:c:2/2 z:26/47 - GFP, TRITC",158.117,1041.659,492,1405,164703.674,12544703
,,,,,,,
1,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_146.vsi - GFP, TRITC - C=1:c:2/2 z:25/33 - GFP, TRITC",134.125,124.145,79,184,16650.911,1981596
2,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_146.vsi - GFP, TRITC - C=1:146-ES:c:2/2 z:23/33 - GFP, TRITC",102.539,487.547,299,680,49992.587,5949531
3,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_146.vsi - GFP, TRITC - C=1:146-MEF:c:2/2 z:23/33 - GFP, TRITC",128.621,298.913,211,383,38446.548,4575457
4,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_146.vsi - GFP, TRITC - C=1:146-unfusedES:c:2/2 z:23/33 - GFP, TRITC",114.101,722.149,399,1016,82398.177,9806064
,,,,,,,
1,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_147.vsi - GFP, TRITC - C=1:c:2/2 z:25/38 - GFP, TRITC",95.145,106.474,74,165,10130.397,1205601
2,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_147.vsi - GFP, TRITC - C=1:147-ES:c:2/2 z:25/38 - GFP, TRITC",205.868,582.667,292,838,119952.602,14275351
3,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_147.vsi - GFP, TRITC - C=1:147-MEF:c:2/2 z:25/38 - GFP, TRITC",130.411,363.887,232,500,47454.965,5647533
4,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_147.vsi - GFP, TRITC - C=1:147-unfusedES:c:2/2 z:25/38 - GFP, TRITC",99.523,830.331,374,1079,82636.664,9834446
,,,,,,,
1,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_149.vsi - GFP, TRITC - C=1:c:2/2 z:28/35 - GFP, TRITC",156.88,105.524,74,149,16554.565,1970130
2,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_149.vsi - GFP, TRITC - C=1:c:2/2 z:28/35 - GFP, TRITC",162.308,787.024,412,1046,127740.313,15202153
3,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_149.vsi - GFP, TRITC - C=1:c:2/2 z:28/35 - GFP, TRITC",124.437,522.37,259,828,65002.007,7735776
4,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_149.vsi - GFP, TRITC - C=1:c:2/2 z:28/35 - GFP, TRITC",167.056,934.487,337,1254,156111.234,18578527
,,,,,,,
1,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_151.vsi - GFP, TRITC - C=1:c:2/2 z:39/55 - GFP, TRITC",179.71,103.339,69,151,18571.147,2210120
